Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2021-08-22T00:00:00.000Z,1030,379,457,155,0,24,13,1001,229,450,0,0,21,300,2033,608,908,155,0,46,312
2021-08-23T00:00:00.000Z,2892,1268,608,989,0,24,0,876,305,545,0,0,23,1,3768,1574,1154,989,0,47,1
2021-08-24T00:00:00.000Z,3846,1473,1128,1216,0,24,2,844,286,535,0,0,21,1,4691,1760,1664,1216,0,45,3
2021-08-25T00:00:00.000Z,3224,1158,1068,938,0,24,34,787,244,521,0,0,21,1,4012,1402,1589,938,0,45,35
2021-08-26T00:00:00.000Z,3571,1124,1535,885,0,24,0,1016,315,677,0,0,22,1,4587,1439,2213,885,0,47,1
2021-08-27T00:00:00.000Z,3009,1151,900,924,0,24,7,805,234,547,0,0,22,1,3815,1386,1448,924,0,46,8
2021-08-28T00:00:00.000Z,1284,400,672,170,0,23,16,735,231,481,0,0,21,1,2019,631,1154,170,0,45,17
2021-08-29T00:00:00.000Z,2102,415,1420,198,0,23,43,702,232,447,0,0,21,1,2805,648,1868,198,0,44,44
2021-08-30T00:00:00.000Z,4218,1508,1407,1276,0,24,0,922,307,592,0,0,21,1,5141,1816,2000,1276,0,45,1
2021-08-31T00:00:00.000Z,4728,1750,1453,1496,0,25,0,943,297,623,0,0,22,1,5671,2047,2077,1496,0,47,1
2021-09-01T00:00:00.000Z,4603,1651,1568,1357,0,24,0,1088,341,722,0,0,23,1,5691,1992,2291,1357,0,48,1
2021-09-02T00:00:00.000Z,4309,1608,1420,1236,0,24,19,1138,412,700,0,0,24,1,5449,2020,2121,1236,0,49,20
2021-09-03T00:00:00.000Z,3576,1446,1066,1037,0,24,0,1458,458,939,0,0,21,39,5034,1904,2006,1037,0,46,39
2021-09-04T00:00:00.000Z,989,372,417,165,0,24,9,688,225,440,0,0,21,1,1678,597,858,165,0,45,10
2021-09-05T00:00:00.000Z,9698,490,8938,189,0,23,55,888,303,564,0,0,20,0,10587,794,9502,189,0,44,56
2021-09-06T00:00:00.000Z,5525,2368,1869,1261,0,24,0,2087,1306,757,0,0,22,0,7613,3675,2627,1261,0,47,1
2021-09-07T00:00:00.000Z,4478,2014,1294,1144,0,23,0,1641,863,756,0,0,21,1,6120,2878,2051,1144,0,44,1
2021-09-08T00:00:00.000Z,4160,1801,1271,1062,0,23,0,1456,840,594,0,0,21,1,5617,2641,1865,1062,0,44,1
2021-09-09T00:00:00.000Z,4447,1617,1784,1004,0,23,16,1388,782,582,0,0,21,1,5835,2400,2367,1004,0,45,17
2021-09-10T00:00:00.000Z,3660,1567,1130,926,0,24,11,1308,684,601,0,0,21,1,4969,2252,1731,926,0,45,12
2021-09-11T00:00:00.000Z,1295,440,645,154,0,24,29,783,286,473,0,0,21,1,2079,727,1119,154,0,46,30
2021-09-12T00:00:00.000Z,4454,519,3690,178,0,23,40,858,349,487,0,0,21,1,5313,868,4178,178,0,45,41
2021-09-13T00:00:00.000Z,4335,1773,1419,1087,0,24,29,1601,804,773,0,0,21,1,5936,2578,2193,1087,0,45,30
2021-09-14T00:00:00.000Z,3991,1801,1059,1068,0,24,36,1447,772,652,0,0,21,1,5439,2574,1712,1068,0,45,37
2021-09-15T00:00:00.000Z,4060,1758,1182,1094,0,24,0,1347,738,586,0,0,22,1,5408,2496,1768,1094,0,46,1
2021-09-16T00:00:00.000Z,8321,3883,1201,3212,0,24,0,1423,727,672,0,0,21,1,9745,4610,1874,3212,0,46,1
2021-09-17T00:00:00.000Z,3549,1541,1106,876,0,23,0,1683,767,893,0,0,21,1,5233,2309,1999,876,0,45,1
2021-09-18T00:00:00.000Z,1501,461,845,169,0,23,0,786,296,467,0,0,21,1,2289,758,1313,169,0,45,1
2021-09-19T00:00:00.000Z,2733,482,2034,184,0,23,7,798,303,472,0,0,21,1,3531,785,2506,184,0,45,8
2021-09-20T00:00:00.000Z,4319,1779,1423,1089,0,24,0,1487,811,652,0,0,21,1,5806,2591,2076,1089,0,46,1
